mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_079,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_079.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_080,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_080.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_081,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_081.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_082,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_082.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_083,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_083.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_084,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_084.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_085,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_085.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_086,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_086.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_087,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_087.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_088,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_088.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_089,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_089.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_090,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_090.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_091,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_091.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_092,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_092.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_093,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_093.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_094,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_094.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_095,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_095.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_096,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_096.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_097,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_097.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_098,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_098.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_099,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_099.cif,"Sequence is too short <3!
",
