pair_id,cluster,n_seqs,mean_pid_to_F1,median_pid_to_F1,mean_pid_to_F2,median_pid_to_F2,mean_pid_to_query,median_pid_to_query
1fzpD_2frhA,ShallowMsa_086,11,0.2506117019037275,0.2459016393442623,,,0.2506117019037275,0.2459016393442623
1fzpD_2frhA,ShallowMsa_087,11,0.3012590074502301,0.3090909090909091,,,0.3012590074502301,0.3090909090909091
1fzpD_2frhA,ShallowMsa_088,11,0.2742422784359332,0.2727272727272727,,,0.2742422784359332,0.2727272727272727
1fzpD_2frhA,ShallowMsa_089,11,0.285321478881962,0.2857142857142857,,,0.285321478881962,0.2857142857142857
1iytA_2naoF,ShallowMsa_000,15,0.8610065814943865,0.8780487804878049,,,0.8610065814943865,0.8780487804878049
1iytA_2naoF,ShallowMsa_001,13,0.8050704767402705,0.8048780487804879,,,0.8050704767402705,0.8048780487804879
1iytA_2naoF,ShallowMsa_002,12,0.8875199723855617,0.8627267041901188,,,0.8875199723855617,0.8627267041901188
1iytA_2naoF,ShallowMsa_003,11,0.904761904761905,0.9047619047619048,,,0.904761904761905,0.9047619047619048
1iytA_2naoF,ShallowMsa_004,11,0.7464590964590964,0.7142857142857143,,,0.7464590964590964,0.7142857142857143
1iytA_2naoF,ShallowMsa_005,11,0.8380276710585242,0.8888888888888888,,,0.8380276710585242,0.8888888888888888
