pair_id,pdbid1,chain1,name1,organism1,pdbid2,chain2,name2,organism2,display_name
2n54B_2hdmA,2n54,B,Lymphotactin,Homo sapiens,2hdm,A,Lymphotactin,Homo sapiens,Lymphotactin
2jmrA_4j3oF,2jmr,A,fimF,Escherichia coli,4j3o,F,Protein FimF,Escherichia coli K-12,fimF / Protein FimF
2k42A_1ceeB,2k42,A,Wiskott-Aldrich syndrome protein,Homo sapiens,1cee,B,WISKOTT-ALDRICH SYNDROME PROTEIN WASP,Homo sapiens,Wiskott-Aldrich syndrome protein / WISKOTT-ALDRICH SYNDROME PROTEIN WASP
2kb8A_6vw2A,2kb8,A,Islet amyloid polypeptide,Homo sapiens,6vw2,A,Islet amyloid polypeptide (SUMO-tagged),Saccharomyces cerevisiae S288C,Islet amyloid polypeptide / Islet amyloid polypeptide (SUMO-tagged)
2kkwA_2n0aD,2kkw,A,Alpha-synuclein,Homo sapiens,2n0a,D,Alpha-synuclein,Homo sapiens,Alpha-synuclein
3r9jC_2kxoA,3r9j,C,Cell division topological specificity factor,Escherichia coli K-12,2kxo,A,Cell division topological specificity factor,Neisseria gonorrhoeae,Cell division topological specificity factor
2lelA_2k0qA,2lel,A,Copper resistance protein K,Cupriavidus metallidurans CH34,2k0q,A,Putative uncharacterized protein copK,Cupriavidus metallidurans,Copper resistance protein K / Putative uncharacterized protein copK
2lepA_4hddA,2lep,A,Rhomboid protease glpG 1,Escherichia coli,4hdd,A,Rhomboid protease GlpG,Escherichia coli,Rhomboid protease glpG 1 / Rhomboid protease GlpG
2lv1A_6lniA,2lv1,A,Major prion protein,Homo sapiens,6lni,A,Major prion protein,Homo sapiens,Major prion protein
2mwfA_2nntA,2mwf,A,Transcription elongation regulator 1,Homo sapiens,2nnt,A,Transcription elongation regulator 1,Homo sapiens,Transcription elongation regulator 1
6c6sD_2ougC,6c6s,D,Transcription antitermination protein RfaH,Escherichia coli K-12,2oug,C,Transcriptional activator rfaH,Escherichia coli,Transcription antitermination protein RfaH / Transcriptional activator rfaH
2p3vD_2p3vA,2p3v,D,Inositol-1-monophosphatase,Thermotoga maritima MSB8,2p3v,A,Inositol-1-monophosphatase,Thermotoga maritima MSB8,Inositol-1-monophosphatase
2pbkB_3njqA,2pbk,B,KSHV protease,Human gammaherpesvirus 8,3njq,A,ORF 17,Human herpesvirus 8 type M,KSHV protease / ORF 17
2qqjA_4qdsA,2qqj,A,Neuropilin-2,Homo sapiens,4qds,A,Neuropilin-2,Homo sapiens,Neuropilin-2
2vfxL_3gmhL,2vfx,L,MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD2A,Homo sapiens,3gmh,L,Mitotic spindle assembly checkpoint protein MAD2A,Homo sapiens,MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD2A
3m7pA_3ejhA,3m7p,A,FN1 protein,Homo sapiens,3ejh,A,Fibronectin,Homo sapiens,FN1 protein / Fibronectin
3g0hA_3ewsB,3g0h,A,ATP-dependent RNA helicase DDX19B,Homo sapiens,3ews,B,ATP-dependent RNA helicase DDX19B,Homo sapiens,ATP-dependent RNA helicase DDX19B
3hdfA_3hdeA,3hdf,A,Lysozyme,Enterobacteria phage P21,3hde,A,Lysozyme,Enterobacteria phage P21,Lysozyme
5et5A_3ifaA,5et5,A,"Fructose-1,6-bisphosphatase isozyme 2",Homo sapiens,3ifa,A,"Fructose-1,6-bisphosphatase isozyme 2",Homo sapiens,"Fructose-1,6-bisphosphatase isozyme 2"
3j7vG_3j7wB,3j7v,G,Major capsid protein 10A,Escherichia phage T7,3j7w,B,Major capsid protein 10A,Escherichia phage T7,Major capsid protein 10A
1xtgB_3j97M,1xtg,B,Synaptosomal-associated protein 25,Homo sapiens,3j97,M,Synaptosomal-associated protein 25,Rattus norvegicus,Synaptosomal-associated protein 25
1zk9A_3jv6A,1zk9,A,Transcription factor RelB,Mus musculus,3jv6,A,Transcription factor RelB,Mus musculus,Transcription factor RelB
3kdsG_2ce7C,3kds,G,Cell division protein FtsH,Thermotoga maritima,2ce7,C,CELL DIVISION PROTEIN FTSH,Thermotoga maritima,Cell division protein FtsH
5c3iF_3kuyA,5c3i,F,Histone H3.1,Homo sapiens,3kuy,A,Histone H3.2,Xenopus laevis,Histone H3.1 / Histone H3.2
3l9qB_4rr2D,3l9q,B,DNA primase large subunit,Homo sapiens,4rr2,D,DNA primase large subunit,Homo sapiens,DNA primase large subunit
3lowA_3m1bF,3low,A,Beta-2-microglobulin,Homo sapiens,3m1b,F,Beta-2-microglobulin,Homo sapiens,Beta-2-microglobulin
3meeA_4b3oB,3mee,A,p66 Reverse transcriptase,HIV-1 M:B_HXB2R,4b3o,B,P51 RT,Human immunodeficiency virus 1,p66 Reverse transcriptase / P51 RT
1xezA_3o44A,1xez,A,hemolysin,Vibrio cholerae,3o44,A,Hemolysin,Vibrio cholerae 12129(1),hemolysin
3t5oA_4a5wB,3t5o,A,Complement component C6,Homo sapiens,4a5w,B,COMPLEMENT COMPONENT C6,Homo sapiens,Complement component C6
5lj3M_3tp2A,5lj3,M,CWC2,Saccharomyces cerevisiae,3tp2,A,Pre-mRNA-splicing factor CWC2,Saccharomyces cerevisiae,CWC2 / Pre-mRNA-splicing factor CWC2
3v0tA_3uyiA,3v0t,A,Perakine Reductase,Rauvolfia serpentina,3uyi,A,Perakine reductase,Rauvolfia serpentina,Perakine Reductase
4tsyD_3zwgN,4tsy,D,Fragaceatoxin C,Actinia fragacea,3zwg,N,FRAGACEATOXIN C,Actinia fragacea,Fragaceatoxin C
3zxgB_5ec5P,3zxg,B,LYSENIN,Eisenia fetida,5ec5,P,Lysenin,Eisenia fetida,LYSENIN
4aalA_4aanA,4aal,A,CYTOCHROME C551 PEROXIDASE,Geobacter sulfurreducens PCA,4aan,A,CYTOCHROME C551 PEROXIDASE,Geobacter sulfurreducens PCA,CYTOCHROME C551 PEROXIDASE
